Кинотеатр;Адрес;Рейтинг
Синема Парк Макси;Тула, Пролетарская, 2, ТРЦ «Макси»;8.6
Синема Стар Рио;Тула, Пролетарская, 22а, ТРЦ «Рио»;7.8
Алмаз Синема Тула;Тула, Калужское ш., 1а, ТЦ «Платоновский лес»;7.7
Иллизиум (Новомосковск);Новомосковск, Березовая, 7в, ТРЦ «Пассаж»;7.9
Майский;Тула, 9 Мая, 1а;рейтинг отсутствует
Азимут;Тула, г. Богородицк, Коммунаров, 91;рейтинг отсутствует
Кинотеатр;Адрес;Рейтинг
Синема Парк Макси;Тула, Пролетарская, 2, ТРЦ «Макси»;8.6
Синема Стар Рио;Тула, Пролетарская, 22а, ТРЦ «Рио»;7.8
Алмаз Синема Тула;Тула, Калужское ш., 1а, ТЦ «Платоновский лес»;7.7
Иллизиум (Новомосковск);Новомосковск, Березовая, 7в, ТРЦ «Пассаж»;7.9
Майский;Тула, 9 Мая, 1а;рейтинг отсутствует
Азимут;Тула, г. Богородицк, Коммунаров, 91;рейтинг отсутствует
