Моё прекрасное несчастье; Жанр: комедия, мелодрама Реж.: Роджер Камбл. В ролях: Дилан Спроус, Вирджиния Гарднер, Брайан Остин Грин, Отем Ризер, Роб Эстес. Продолжительность: 105 мин. ;48
Три мушкетёра: Д’Артаньян; Жанр:  боевик, приключения, история Реж.: Мартин Бурбулон. В ролях: Франсуа Сивиль, Венсан Кассель, Ромен Дюрис, Пио Мармай, Ева Грин, Луи Гаррель, Вики Крипс, Лина Кудри, Джейкоб Форчун-Ллойд. Продолжительность: 121 мин. ;64
Джон Уик 4; Жанр: боевик, триллер, криминал Реж.: Чад Стахелски. В ролях: Киану Ривз, Донни Йен, Лоренс Фишбёрн, Билл Скарсгард, Хироюки Санада. Продолжительность: 169 мин. ;507
Я хочу! Я буду!; Жанр:  комедия, мелодрама Реж.: Павел Воронин. В ролях: Екатерина Гусева, Валентина Ляпина, Станислав Дужников, Андрей Нестеренко, Игорь Жижикин, Антон Лаврентьев, Алексей Чумаков. Продолжительность: 90 мин. ;11
Мгла; Жанр:  ужасы, фэнтези, драма Реж.: Гийом Никлу. В ролях: Анжель Мак, Атик, Килиан Лармони, Ахмед Абдель Лауи, Мервей Нсомби. Продолжительность: 89 мин. ;14
Профессор и призрачный убийца; Жанр: триллер Реж.:  Джордж Галло. В ролях: Коул Хаузер, Морган Фриман, Вернон Дэвис, Мюриэль Хилейр, Брайан Курландер. Продолжительность: 92 мин. ;14
Крик 6; Жанр:  ужасы, триллер, детектив Реж.: Мэттью Беттинелли, Тайлер Джиллетт. В ролях: Кортни Кокс, Мелисса Баррера, Дженна Ортега, Джасмин Савой Браун, Мэйсон Гудинг, Скит Ульрих, Роджер Л. Джексон, Дермот Малруни, Джек Чемпион, Джош Сегарра. Продолжительность: 122 мин. ;113
Проклятие: Посвящение; Жанр:  ужасы, детектив Реж.: Режиссер Кристофер Смит. В ролях: Джена Мэлоун, Дэнни Хьюстон, Дженет Сьюзман, Иэн Пири. Продолжительность: 91 мин. ;17
Взломщик; Жанр: боевик, триллер, детектив Реж.: Николас Дачемин Харвард. В ролях: Райан Филипп, Кейт Босворт, Винг Реймз, Джеффри Нордлинг, Чарли Уэбер. Продолжительность: 93 мин. ;21
Бойтесь своих желаний; Жанр: ужасы, фантастика Реж.: Скутер Коркл. В ролях: Пейтон Лист, Брендан Мейер, Кейтлин Санта Хуана, Келси Мавема, Дилан Шомбинг. Продолжительность: 87 мин. ;3
