Амелия Клык и Дикий бал;Лора Эллен Андерсон;534
Кентервильское привидение;Оскар Уайльд;229
Загадка старого особняка;Бетти Райт;534
Монстры грязи не боятся;Роберт Стайн;325
Загадочное поместье;Джиллиан Филип;408
Мальчик из дома с призраками;Соня Кайблингер;408
Нашествие призраков (#2);Соня Кайблингер;432
Оживший двойник;Икс Аверн;450
Гиблые воды Заручья;Лада Кутузова;474
Капитан Крюк. История потерянного мальчишки;Серена Валентино;492
Промежутье;Ребекка Ансари;810
Ровер;Кристофер Кроватин;450
Призрак Луны Мун;Гай Басс;492
Охотники за привидениями и ледяной призрак;Корнелия Функе;375
Страшно загадочные истории;;744
Туманная долина;Кэтрин Арден;408
Мы играли с огнем. Мистический роман, основанный на реальных событиях;;914
Мертвые голоса;Кэтрин Арден;474
Коралина;Нил Гейман;240
Коралина;Нил Гейман;240
Магазин проклятых подарков;Икс Аверн;450
Призрак в свете фар;Линдси Дьюга;450
Большая книга ужасов 86: Поезд теней. Чужая душа;Мария Некрасова;450
Тёмные воды;Кэтрин Арден;474
Темногорье. Плацкартный билет;Лада Кутузова;680
Охотники за привидениями и духи огня;Корнелия Функе;375
Выпусти меня отсюда! Книга с подвохом;Йенс Шумахер;558
Игра против Некроманта;Икс Аверн;474
Секрет башни эльфов;Джиллиан Филип;516
Дневник пропавшей Примроуз;Фил Хикс;474
Что живёт в лесу;Линдси Карри;432
Сердце призрака;Лориэн Лоуренс;492
Ужастики. Ровер. Та, что приходит ночью. Комплект из 2- книг с полусупером и плакатом;Дельфина Бертолон, Кристофер Кроватин;1050
Легенда о старом маяке;Джулианна Брандт;474
Виктория-Стич. Близнецы из кристалла;Гарриет Манкастер;600
Выпусти меня отсюда! В книжной ловушке (выпуск 2);Йенс Шумахер;642
Тайны старого озера;К. Александр;408
Большая книга ужасов 89;Елена Усачева;474
Винсент ищет друга;Соня Кайблингер;534
Вершители. Книга 3. Тень Чернобога;Евгения Кретова;1699
Пожиратели грёз;Александр Матюхин;474
Дневник пропавшей Примроуз;Фил Хикс;474
Дана Мэллори и дом оживших теней;Клаудия Ромес;474
Страшные сказки с Черного корабля;Крис Пристли;1037
Темногорье. Серебряный лес;Лада Кутузова;680
Похищенные голоса;Джиллиан Филип;516
